condition,view,metric,tp,fp,fn,precision,recall,f1
S0_schema_only_current,as_returned,entity_exact,195,452,1391,0.30139103554868624,0.12295081967213115,0.17465293327362294
S0_schema_only_current,as_returned,entity_overlap,589,58,997,0.910355486862442,0.371374527112232,0.5275414240931482
S0_schema_only_current,as_returned,relation_exact,19,255,1148,0.06934306569343066,0.016281062553556127,0.0263705759888966
S0_schema_only_current,as_returned,relation_overlap,71,203,1096,0.2591240875912409,0.060839760068551844,0.09854267869535045
S0_schema_only_current,as_returned,relation_matched_endpoint_exact,19,9,1,0.6785714285714286,0.95,0.7916666666666666
S0_schema_only_current,prediction_only_normalized,entity_exact,197,450,1389,0.3044822256568779,0.12421185372005045,0.17644424540976264
S0_schema_only_current,prediction_only_normalized,entity_overlap,589,58,997,0.910355486862442,0.371374527112232,0.5275414240931482
S0_schema_only_current,prediction_only_normalized,relation_exact,19,255,1148,0.06934306569343066,0.016281062553556127,0.0263705759888966
S0_schema_only_current,prediction_only_normalized,relation_overlap,71,203,1096,0.2591240875912409,0.060839760068551844,0.09854267869535045
S0_schema_only_current,prediction_only_normalized,relation_matched_endpoint_exact,19,9,2,0.6785714285714286,0.9047619047619048,0.7755102040816326
G0_annotation_derived_initial_current,as_returned,entity_exact,1290,229,296,0.8492429229756419,0.8133669609079445,0.8309178743961353
G0_annotation_derived_initial_current,as_returned,entity_overlap,1343,176,243,0.8841342988808426,0.8467843631778058,0.8650563607085346
G0_annotation_derived_initial_current,as_returned,relation_exact,616,370,551,0.6247464503042597,0.5278491859468724,0.5722248026010218
G0_annotation_derived_initial_current,as_returned,relation_overlap,634,352,533,0.6430020283975659,0.5432733504712939,0.5889456572224803
G0_annotation_derived_initial_current,as_returned,relation_matched_endpoint_exact,616,156,200,0.7979274611398963,0.7549019607843137,0.7758186397984886
G0_annotation_derived_initial_current,prediction_only_normalized,entity_exact,1290,229,296,0.8492429229756419,0.8133669609079445,0.8309178743961353
G0_annotation_derived_initial_current,prediction_only_normalized,entity_overlap,1343,176,243,0.8841342988808426,0.8467843631778058,0.8650563607085346
G0_annotation_derived_initial_current,prediction_only_normalized,relation_exact,616,370,551,0.6247464503042597,0.5278491859468724,0.5722248026010218
G0_annotation_derived_initial_current,prediction_only_normalized,relation_overlap,634,352,533,0.6430020283975659,0.5432733504712939,0.5889456572224803
G0_annotation_derived_initial_current,prediction_only_normalized,relation_matched_endpoint_exact,616,156,200,0.7979274611398963,0.7549019607843137,0.7758186397984886
Gstar_refined_guideline_current,as_returned,entity_exact,1361,252,225,0.8437693738375698,0.8581336696090794,0.8508909034073148
Gstar_refined_guideline_current,as_returned,entity_overlap,1385,228,201,0.8586484810911346,0.873266078184111,0.8658955923726165
Gstar_refined_guideline_current,as_returned,relation_exact,722,341,445,0.6792097836312324,0.6186803770351328,0.6475336322869956
Gstar_refined_guideline_current,as_returned,relation_overlap,740,323,427,0.6961429915333961,0.6341045415595544,0.6636771300448431
Gstar_refined_guideline_current,as_returned,relation_matched_endpoint_exact,722,135,188,0.8424737456242707,0.7934065934065934,0.8172043010752689
Gstar_refined_guideline_current,prediction_only_normalized,entity_exact,1363,250,223,0.8450092994420335,0.8593947036569988,0.8521412941544233
Gstar_refined_guideline_current,prediction_only_normalized,entity_overlap,1385,228,201,0.8586484810911346,0.873266078184111,0.8658955923726165
Gstar_refined_guideline_current,prediction_only_normalized,relation_exact,728,335,439,0.6848541862652869,0.62382176520994,0.6529147982062781
Gstar_refined_guideline_current,prediction_only_normalized,relation_overlap,740,323,427,0.6961429915333961,0.6341045415595544,0.6636771300448431
Gstar_refined_guideline_current,prediction_only_normalized,relation_matched_endpoint_exact,728,135,188,0.8435689455388181,0.7947598253275109,0.8184373243395165
FS4_direct_gold,as_returned,entity_exact,1306,165,280,0.8878314072059823,0.8234552332912989,0.8544324501144913
FS4_direct_gold,as_returned,entity_overlap,1347,124,239,0.9157036029911625,0.8493064312736444,0.8812561334641805
FS4_direct_gold,as_returned,relation_exact,726,337,441,0.6829727187206021,0.622107969151671,0.6511210762331838
FS4_direct_gold,as_returned,relation_overlap,770,293,397,0.7243650047036688,0.6598114824335904,0.6905829596412556
FS4_direct_gold,as_returned,relation_matched_endpoint_exact,726,127,112,0.8511137162954279,0.8663484486873508,0.8586635127143702
FS4_direct_gold,prediction_only_normalized,entity_exact,1314,157,272,0.8932698844323589,0.8284993694829761,0.8596663395485771
FS4_direct_gold,prediction_only_normalized,entity_overlap,1347,124,239,0.9157036029911625,0.8493064312736444,0.8812561334641805
FS4_direct_gold,prediction_only_normalized,relation_exact,734,329,433,0.6904985888993415,0.6289631533847472,0.6582959641255606
FS4_direct_gold,prediction_only_normalized,relation_overlap,770,293,397,0.7243650047036688,0.6598114824335904,0.6905829596412556
FS4_direct_gold,prediction_only_normalized,relation_matched_endpoint_exact,734,128,117,0.851508120649652,0.8625146886016452,0.8569760653823701
FS8_direct_gold,as_returned,entity_exact,1321,174,265,0.8836120401337793,0.8329129886506935,0.857513794222655
FS8_direct_gold,as_returned,entity_overlap,1356,139,230,0.9070234113712374,0.8549810844892812,0.8802336903602727
FS8_direct_gold,as_returned,relation_exact,748,315,419,0.7036688617121355,0.6409597257926307,0.6708520179372197
FS8_direct_gold,as_returned,relation_overlap,792,271,375,0.7450611476952023,0.6786632390745502,0.7103139013452915
FS8_direct_gold,as_returned,relation_matched_endpoint_exact,748,107,100,0.8748538011695907,0.8820754716981132,0.8784497944803288
FS8_direct_gold,prediction_only_normalized,entity_exact,1341,154,245,0.8969899665551839,0.8455233291298865,0.8704965920155794
FS8_direct_gold,prediction_only_normalized,entity_overlap,1356,139,230,0.9070234113712374,0.8549810844892812,0.8802336903602727
FS8_direct_gold,prediction_only_normalized,relation_exact,779,284,388,0.7328316086547507,0.6675235646958012,0.6986547085201794
FS8_direct_gold,prediction_only_normalized,relation_overlap,792,271,375,0.7450611476952023,0.6786632390745502,0.7103139013452915
FS8_direct_gold,prediction_only_normalized,relation_matched_endpoint_exact,779,112,103,0.8742985409652076,0.8832199546485261,0.8787366046249295
FS12_direct_gold,as_returned,entity_exact,1329,179,257,0.8812997347480106,0.8379571248423707,0.859082094376212
FS12_direct_gold,as_returned,entity_overlap,1373,135,213,0.9104774535809018,0.8656998738965952,0.8875242404654169
